City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
191,Carballo,ES,68.43,overcast clouds,43.213,-8.691,Pazo do Souto
193,Shatoy,RU,55.6,overcast clouds,42.8714,45.6886,БиоГорец
194,Biak,ID,76.95,overcast clouds,-0.9131,122.8766,Penginapan Kim
195,Geraldton,AU,63.01,few clouds,-28.7667,114.6,Broadwater Mariner Resort
197,Nicoya,CR,84.85,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
198,Conceicao Do Araguaia,BR,88.95,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
199,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
200,Praya,CV,88.34,clear sky,14.9215,-23.5087,LT Aparthotel
201,Hualmay,PE,71.98,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
202,Jackson,US,38.44,overcast clouds,42.4165,-122.8345,Agate Village Apartments
203,Chuy,UY,76.05,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
205,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
206,Glendive,US,48.76,few clouds,47.1053,-104.7125,Baymont by Wyndham Glendive
207,Staraya Russa,RU,42.85,overcast clouds,57.9944,31.3608,Hotel Polist
209,Lewiston,US,50.85,overcast clouds,44.1003,-70.2148,Hilton Garden Inn Auburn Riverwatch
210,Ponta Do Sol,PT,69.71,scattered clouds,32.6667,-17.1,Hotel do Campo
211,Saint Anthony,US,42.26,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
213,Garoua Boulai,CM,83.32,overcast clouds,5.8833,14.55,Motel l'as Vegas
214,San Patricio,US,74.88,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
216,Eureka,US,45.25,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
218,Tabou,CI,85.37,overcast clouds,4.423,-7.3528,hotêl doufoulougou
219,Vrangel,RU,44.42,overcast clouds,42.7297,133.0839,"Отель ""БАЛИ"""
220,Borshchiv,UA,51.26,overcast clouds,48.8033,26.0435,Hotel Gostynniy Dvir
221,Los Llanos De Aridane,ES,64.15,scattered clouds,28.6585,-17.9182,Valle Aridane
222,Mosquera,CO,62.69,scattered clouds,4.7059,-74.2302,Hotel SJ
223,Trat,TH,78.39,few clouds,12.5,102.5,สวนหนิง-อัศ
