City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
129,Deputatskiy,RU,69.3,139.9,-19.48,100,100,1.86,overcast clouds
130,Kaitangata,NZ,-46.2817,169.8464,51.31,83,28,9.84,scattered clouds
131,Colquiri,BO,-17.4167,-67.1333,46.06,63,75,5.97,broken clouds
132,Bayir,TR,37.2687,28.2167,68.52,46,46,8.77,scattered clouds
133,Dikson,RU,73.5069,80.5464,9.23,95,99,4.47,overcast clouds
134,Sao Filipe,CV,14.8961,-24.4956,76.19,65,61,13.42,broken clouds
135,Roquetas De Mar,ES,36.7642,-2.6148,69.62,54,8,2.3,clear sky
136,Hilo,US,19.7297,-155.09,69.53,83,100,5.75,overcast clouds
137,Knokke-Heist,BE,51.3333,3.3333,50.45,54,25,15.99,scattered clouds
138,Souillac,MU,-20.5167,57.5167,79.18,83,40,8.05,scattered clouds
139,Saint George,US,37.1041,-113.5841,52.39,24,0,4.61,clear sky
140,Naze,JP,28.3667,129.4833,65.32,79,4,9.93,clear sky
141,Vardo,NO,70.3705,31.1107,35.69,97,100,29.33,overcast clouds
142,Hermanus,ZA,-34.4187,19.2345,69.8,54,0,24.9,clear sky
143,Rocha,UY,-34.4833,-54.3333,79.45,47,0,3.44,clear sky
144,Hami,CN,42.8,93.45,65.79,15,36,11.41,scattered clouds
145,Pitimbu,BR,-7.4706,-34.8086,86.59,69,82,13.94,broken clouds
146,Vanimo,PG,-2.6741,141.3028,78.01,89,99,5.37,overcast clouds
147,Neyvo-Shaytanskiy,RU,57.7286,61.2496,35.01,100,100,4.07,overcast clouds
148,Racine,US,42.7495,-88.0751,39.22,72,58,11.5,broken clouds
149,Terbuny,RU,52.1389,38.2789,54.82,57,100,7.45,overcast clouds
150,Maniitsoq,GL,65.4167,-52.9,19.33,73,33,0.89,scattered clouds
151,Cabrobo,BR,-8.5142,-39.31,92.21,38,100,14.65,overcast clouds
152,Maragogi,BR,-9.0122,-35.2225,82.71,77,89,10.94,overcast clouds
153,Kodiak,US,57.79,-152.4072,27.91,46,0,13.8,clear sky
154,Hervey Bay,AU,-25.2986,152.8535,74.44,84,84,18.84,broken clouds
155,Aksarka,RU,66.5606,67.7975,12.7,96,100,4.63,overcast clouds
156,Northam,GB,51.0333,-4.2167,48.38,59,76,8.59,broken clouds
157,Yellowknife,CA,62.456,-114.3525,19.42,83,40,19.57,scattered clouds
158,Songjianghe,CN,42.1859,127.479,48.7,90,100,4.79,overcast clouds
159,Soyo,AO,-6.1349,12.3689,83.26,69,100,9.8,overcast clouds
160,Virginia Beach,US,36.8529,-75.978,55.45,59,75,11.5,broken clouds
161,Port Lincoln,AU,-34.7333,135.8667,67.93,69,26,7.38,scattered clouds
162,Torbay,CA,47.6666,-52.7314,35.58,83,75,20.71,broken clouds
163,Kutum,SD,14.2,24.6667,93.72,7,44,10.36,scattered clouds
164,Saskylakh,RU,71.9167,114.0833,-11.49,97,34,2.39,scattered clouds
165,Tateyama,JP,34.9833,139.8667,61.11,85,0,16.67,clear sky
166,Beloha,MG,-25.1667,45.05,75.38,75,43,16.33,scattered clouds
167,Lata,PT,40.1629,-8.3327,58.82,72,100,5.3,overcast clouds
168,Champerico,GT,14.3,-91.9167,82.94,56,84,1.95,broken clouds
169,Sembakung,ID,3.8167,117.25,75.18,91,98,1.07,overcast clouds
170,Mackay,AU,-21.15,149.2,77.68,88,75,12.66,broken clouds
171,San Andres,CO,12.5847,-81.7006,84.22,74,20,16.11,few clouds
172,Saint-Pierre,RE,-21.3393,55.4781,80.28,69,75,18.41,broken clouds
173,Lagoa,PT,39.05,-27.9833,55.51,71,100,35.41,overcast clouds
174,Georgetown,MY,5.4112,100.3354,82.33,88,20,5.99,few clouds
175,Changtu,CN,42.7788,124.0955,59.38,37,74,8.28,broken clouds
176,Ozark,US,37.0209,-93.206,46.29,56,4,3.0,clear sky
177,Half Moon Bay,US,37.4636,-122.4286,54.63,80,0,10.36,mist
178,Zhezkazgan,KZ,47.8043,67.7144,53.58,54,20,17.9,few clouds
179,Port-Cartier,CA,50.0334,-66.8654,33.75,99,100,0.92,overcast clouds
180,Narsaq,GL,60.9167,-46.05,35.82,44,2,1.12,clear sky
181,Pisco,PE,-13.7,-76.2167,68.05,83,89,4.61,mist
182,Namibe,AO,-15.1961,12.1522,75.49,70,5,8.79,clear sky
183,Kirakira,SB,-10.4544,161.9205,79.21,81,64,6.26,broken clouds
184,Thurso,GB,58.5927,-3.5259,41.86,61,83,18.19,broken clouds
185,Laguna,US,38.421,-121.4238,60.06,38,0,17.27,clear sky
186,Vila Franca Do Campo,PT,37.7167,-25.4333,61.21,76,41,23.11,scattered clouds
187,Miandrivazo,MG,-19.5167,45.4667,86.85,58,13,2.46,light rain
188,Forbesganj,IN,26.3,87.25,85.87,44,29,14.76,scattered clouds
189,Erzin,TR,36.9559,36.2,64.47,75,0,3.94,clear sky
190,Mahebourg,MU,-20.4081,57.7,79.25,83,40,8.05,scattered clouds
191,Carballo,ES,43.213,-8.691,68.43,76,100,3.87,overcast clouds
192,Vostok,RU,46.4856,135.8833,24.31,96,18,4.72,few clouds
193,Shatoy,RU,42.8714,45.6886,55.6,73,91,1.39,overcast clouds
194,Biak,ID,-0.9131,122.8766,76.95,78,100,3.2,overcast clouds
195,Geraldton,AU,-28.7667,114.6,63.01,77,20,2.3,few clouds
196,Blagoyevo,RU,63.3667,47.9167,41.61,96,100,12.73,overcast clouds
197,Nicoya,CR,10.1483,-85.452,84.85,58,93,17.4,overcast clouds
198,Conceicao Do Araguaia,BR,-8.2578,-49.2647,88.95,60,97,2.48,overcast clouds
199,Cockburn Town,TC,21.4612,-71.1419,80.56,69,40,11.5,scattered clouds
200,Praya,CV,14.9215,-23.5087,88.34,27,0,17.27,clear sky
201,Hualmay,PE,-11.0964,-77.6139,71.98,74,92,7.43,overcast clouds
202,Jackson,US,42.4165,-122.8345,38.44,76,98,1.01,overcast clouds
203,Chuy,UY,-33.6971,-53.4616,76.05,57,0,5.32,clear sky
204,Luderitz,NA,-26.6481,15.1594,69.73,53,0,4.34,clear sky
205,Maceio,BR,-9.6658,-35.7353,87.24,70,75,12.66,broken clouds
206,Glendive,US,47.1053,-104.7125,48.76,59,20,33.38,few clouds
207,Staraya Russa,RU,57.9944,31.3608,42.85,76,100,8.05,overcast clouds
208,Gorin,RU,51.1983,136.6669,18.5,97,92,1.83,overcast clouds
209,Lewiston,US,44.1003,-70.2148,50.85,96,100,1.01,overcast clouds
210,Ponta Do Sol,PT,32.6667,-17.1,69.71,65,46,5.64,scattered clouds
211,Saint Anthony,US,45.0205,-93.218,42.26,46,0,4.61,clear sky
212,Amapa,BR,1.0,-52.0,84.38,68,64,4.9,broken clouds
213,Garoua Boulai,CM,5.8833,14.55,83.32,43,96,12.06,overcast clouds
214,San Patricio,US,28.017,-97.5169,74.88,45,0,11.97,clear sky
215,Pevek,RU,69.7008,170.3133,-19.66,100,92,6.87,overcast clouds
216,Eureka,US,40.8021,-124.1637,45.25,82,8,5.01,clear sky
217,Marzuq,YE,14.4,46.4667,77.59,34,12,17.09,few clouds
218,Tabou,CI,4.423,-7.3528,85.37,71,95,10.74,overcast clouds
219,Vrangel,RU,42.7297,133.0839,44.42,81,100,12.1,overcast clouds
220,Borshchiv,UA,48.8033,26.0435,51.26,78,100,19.62,overcast clouds
221,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,78,40,8.99,scattered clouds
222,Mosquera,CO,4.7059,-74.2302,62.69,67,40,2.3,scattered clouds
223,Trat,TH,12.5,102.5,78.39,76,24,1.88,few clouds
224,Kortkeros,RU,61.8106,51.5806,50.0,99,100,10.07,overcast clouds
225,Leshukonskoye,RU,64.8989,45.7622,41.95,92,100,12.12,overcast clouds
226,Namwala,ZM,-15.7504,26.4384,70.05,75,94,7.49,overcast clouds
227,Mayo,US,38.8876,-76.5119,53.67,65,75,11.5,broken clouds
228,Mondlo,ZA,-27.983,30.7177,54.34,96,100,4.34,light rain
229,Diffa,NE,13.3154,12.6113,106.18,4,99,13.06,overcast clouds
230,Bonavista,CA,48.6499,-53.1147,33.6,83,99,18.03,overcast clouds
231,Marovoay,MG,-16.1,46.6333,80.17,80,97,1.88,overcast clouds
232,Barcelos,PT,41.5388,-8.6151,70.92,65,100,8.52,overcast clouds
233,Suez,EG,29.9737,32.5263,80.8,23,11,17.49,few clouds
234,Veraval,IN,20.9,70.3667,82.81,67,0,10.22,clear sky
235,Saldanha,ZA,-33.0117,17.9442,86.05,46,0,14.63,clear sky
236,Touros,BR,-5.1989,-35.4608,87.57,60,30,16.6,scattered clouds
237,Zhumadian,CN,32.9794,114.0294,66.88,62,10,6.33,clear sky
238,Ulaanbaatar,MN,47.9077,106.8832,32.13,69,20,13.42,few clouds
239,Vanino,RU,49.0869,140.2543,26.87,97,70,2.51,broken clouds
240,Provideniya,RU,64.3833,-173.3,19.76,97,100,2.26,snow
241,Irpa Irpa,BO,-17.7167,-66.2667,71.6,49,89,4.9,overcast clouds
242,Manono,CD,-7.3,27.4167,85.48,66,42,2.48,scattered clouds
243,Kahului,US,20.8947,-156.47,74.84,78,0,13.0,clear sky
244,Ulundi,ZA,-28.3352,31.4162,60.49,97,100,3.49,moderate rain
245,Mikhaylovka,RU,50.06,43.2379,58.78,78,70,4.99,broken clouds
246,Talara,PE,-4.5772,-81.2719,75.96,64,0,16.11,clear sky
247,Bethel,US,41.3712,-73.414,53.15,73,20,3.44,few clouds
248,Mugur-Aksy,RU,50.35,90.5,20.05,65,13,10.63,light snow
249,Atar,MR,20.5169,-13.0499,96.76,4,0,8.23,clear sky
250,Kavieng,PG,-2.5744,150.7967,80.94,79,90,4.61,overcast clouds
251,Saint Pete Beach,US,27.7253,-82.7412,70.09,52,20,6.91,few clouds
252,Norderstedt,DE,53.7,10.0167,48.15,63,40,23.02,scattered clouds
253,Norman Wells,CA,65.282,-126.8329,10.44,72,75,24.16,broken clouds
254,Saint-Claude,FR,46.5,5.8333,43.36,90,92,3.71,overcast clouds
255,Mufulira,ZM,-12.5498,28.2407,67.73,89,99,5.32,light rain
256,Saint-Philippe,RE,-21.3585,55.7679,79.21,85,44,10.6,scattered clouds
257,Caravelas,BR,-17.7125,-39.2481,86.65,58,62,6.96,broken clouds
258,Olafsvik,IS,64.8945,-23.7142,35.69,98,100,24.99,overcast clouds
259,Sitka,US,57.0531,-135.33,35.49,80,100,3.44,overcast clouds
260,Makakilo City,US,21.3469,-158.0858,73.72,73,0,12.66,clear sky
261,Hamilton,US,39.1834,-84.5333,40.6,82,100,13.8,overcast clouds
262,Avera,US,33.194,-82.5271,50.56,48,10,14.81,clear sky
263,Hokitika,NZ,-42.7167,170.9667,58.91,75,100,3.67,overcast clouds
264,Kasangulu,CD,-4.5911,15.1708,86.94,86,97,4.97,moderate rain
265,Merauke,ID,-8.4667,140.3333,79.38,85,72,10.16,broken clouds
266,Fairbanks,US,64.8378,-147.7164,-2.4,70,0,0.0,clear sky
267,Chitipa,MW,-9.7024,33.2697,69.21,86,61,6.51,light rain
268,Blonie,PL,52.1985,20.6171,53.17,55,100,12.75,overcast clouds
269,Marsh Harbour,BS,26.5412,-77.0636,71.89,57,76,16.89,broken clouds
270,Devonport,AU,-41.1667,146.35,65.08,95,78,7.54,broken clouds
271,Constitucion,CL,-35.3333,-72.4167,60.71,65,74,3.76,broken clouds
272,Viedma,AR,-40.8135,-62.9967,63.5,77,100,14.38,overcast clouds
273,Sabang,ID,5.8933,95.3214,84.06,66,86,2.55,overcast clouds
274,Hudson Bay,CA,52.85,-102.3842,37.31,86,100,10.18,overcast clouds
275,Shwebo,MM,22.5667,95.7,90.59,28,17,4.56,few clouds
276,Coahuayana,MX,18.7333,-103.6833,85.03,35,0,1.59,clear sky
277,Parrita,CR,9.5201,-84.3225,85.37,64,30,3.38,scattered clouds
278,Iqaluit,CA,63.7506,-68.5145,17.33,79,100,10.36,light snow
279,Verkhnyaya Inta,RU,65.9811,60.3094,26.78,81,86,11.36,overcast clouds
280,Bougouni,ML,11.417,-7.479,107.31,14,56,4.5,broken clouds
281,The Valley,AI,18.217,-63.0578,82.54,61,40,19.57,scattered clouds
282,Crestview,US,30.7621,-86.5705,56.84,41,0,12.66,clear sky
283,Murighiol,RO,45.0333,29.1667,73.89,54,17,11.72,few clouds
284,Hambantota,LK,6.1241,81.1185,79.14,100,75,3.44,broken clouds
285,Baishishan,CN,43.5833,127.5667,51.01,38,100,3.6,overcast clouds
286,Langsa,ID,4.4683,97.9683,76.28,91,72,2.04,broken clouds
287,Peplos,GR,40.9583,26.2656,61.86,69,0,18.32,clear sky
288,Kautokeino,NO,69.0125,23.0412,32.81,98,100,21.27,light snow
289,College,US,64.8569,-147.8028,-2.42,70,0,0.0,clear sky
290,Bhongir,IN,17.5108,78.8889,87.1,28,78,8.08,broken clouds
291,Muros,ES,42.7762,-9.0603,68.68,64,100,6.38,overcast clouds
292,Belyy Yar,RU,53.6039,91.3903,37.29,60,0,4.47,clear sky
293,Flinders,AU,-34.5833,150.8552,65.17,92,54,5.99,moderate rain
294,Samarai,PG,-10.6167,150.6667,82.56,78,100,16.87,overcast clouds
295,Baherden,TM,38.4362,57.4316,84.67,19,100,5.26,overcast clouds
296,Topeka,US,39.0483,-95.678,50.11,46,0,1.01,clear sky
297,Abu Kamal,SY,34.4506,40.9171,78.67,22,0,15.17,clear sky
298,Pacific Grove,US,36.6177,-121.9166,49.66,89,40,5.75,haze
299,Cherskiy,RU,68.75,161.3,-13.68,100,92,5.64,overcast clouds
300,Jacksonville,US,30.3322,-81.6556,62.1,43,20,16.11,few clouds
301,Hovd,MN,48.0056,91.6419,43.74,20,0,14.94,clear sky
302,Kaeo,NZ,-35.1,173.7833,62.91,80,99,5.97,overcast clouds
303,Portovelo,EC,-3.7167,-79.6167,79.21,83,92,2.62,light rain
304,Sampit,ID,-2.5333,112.95,74.28,98,100,2.46,overcast clouds
305,Siguiri,GN,11.6667,-9.5,108.21,7,25,8.23,scattered clouds
306,Polonnaruwa,LK,7.9333,81.0,77.58,87,100,3.06,heavy intensity rain
307,Vorobyevka,RU,50.6451,40.9245,56.89,55,66,4.68,broken clouds
308,Kargasok,RU,59.0556,80.8572,15.22,90,31,8.03,scattered clouds
309,Dryden,CA,49.7833,-92.7503,26.89,50,0,3.44,clear sky
310,Cidreira,BR,-30.1811,-50.2056,72.27,81,93,9.08,overcast clouds
311,Hammelburg,DE,50.1167,9.9,47.05,69,63,12.68,broken clouds
312,Middelburg,ZA,-25.7751,29.4648,56.61,86,100,12.55,moderate rain
313,Ouallam,NE,14.3188,2.0866,110.08,8,20,2.64,few clouds
314,Senneterre,CA,48.3835,-77.2328,33.1,92,100,6.11,overcast clouds
315,Volnovakha,UA,47.601,37.4967,56.86,65,98,12.62,overcast clouds
316,Victoria,HK,22.2855,114.1577,74.17,72,0,11.01,clear sky
317,Grao Mogol,BR,-16.5594,-42.8897,88.48,39,5,2.84,clear sky
318,Severo-Kurilsk,RU,50.6789,156.125,25.11,77,19,4.81,few clouds
319,Yulara,AU,-25.2406,130.9889,66.04,26,0,4.61,clear sky
320,Palmer,US,42.1584,-72.3287,54.64,78,75,1.99,broken clouds
321,Visnes,NO,59.3556,5.2242,42.85,75,20,23.02,few clouds
322,Kenora,CA,49.8167,-94.4337,31.17,47,40,8.05,scattered clouds
323,Kalmunai,LK,7.4167,81.8167,79.88,80,100,3.09,heavy intensity rain
324,Flagstaff,US,35.1981,-111.6513,50.11,41,0,0.0,clear sky
325,Tabasco,MX,18.0,-92.6667,72.07,94,100,0.0,overcast clouds
326,Longyearbyen,SJ,78.2186,15.6401,24.64,63,20,14.97,light snow
327,Bereda,ES,43.2686,-7.5406,66.15,46,74,3.76,broken clouds
328,Baykit,RU,61.67,96.37,16.79,96,96,2.64,overcast clouds
329,Grindavik,IS,63.8424,-22.4338,39.67,87,75,28.77,broken clouds
330,Panzhihua,CN,26.5851,101.7128,66.24,69,3,2.48,clear sky
331,Nouadhibou,MR,20.931,-17.0347,73.38,60,0,17.27,clear sky
332,Markova,UA,48.6758,24.4138,39.04,94,100,12.86,overcast clouds
333,Byron Bay,AU,-28.65,153.6167,64.94,85,54,7.05,broken clouds
334,Sebring,US,27.4956,-81.4409,66.15,48,40,9.22,scattered clouds
335,Korla,CN,41.7597,86.1469,73.42,16,76,3.36,broken clouds
336,Faanui,PF,-16.4833,-151.75,82.38,72,91,17.92,overcast clouds
337,Sonoita,MX,31.85,-112.8333,74.34,15,5,8.75,clear sky
338,Tazovskiy,RU,67.4667,78.7,-6.41,100,36,7.83,scattered clouds
339,San Quintin,MX,30.4833,-115.95,68.38,53,9,1.99,clear sky
