City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
168,Kaitangata,NZ,2022-04-05 13:39:17,-46.2817,169.8464,57.7,98,100,6.22
169,Kaabong,UG,2022-04-05 13:39:18,3.4836,34.1492,85.39,26,14,15.5
170,Manggar,ID,2022-04-05 13:39:18,-2.8833,108.2667,77.7,85,29,4.5
171,Ponta Delgada,PT,2022-04-05 13:39:18,37.7333,-25.6667,61.52,59,40,6.91
172,Podor,MR,2022-04-05 13:39:19,16.6527,-14.9587,91.67,18,0,11.77
173,Boyolangu,ID,2022-04-05 13:39:19,-8.1181,111.8935,76.51,88,100,2.62
174,Hasaki,JP,2022-04-05 13:39:19,35.7333,140.8333,52.29,70,100,3.51
175,Wuwei,CN,2022-04-05 13:39:20,37.9281,102.6414,55.44,19,1,3.44
176,Nishihara,JP,2022-04-05 13:39:20,26.1842,127.7558,67.28,60,100,4.61
177,San Cristobal,VE,2022-04-05 13:36:24,7.7669,-72.225,71.78,49,100,5.3
178,Pocone,BR,2022-04-05 13:39:20,-16.2567,-56.6228,85.95,61,3,3.58
179,Sungairaya,ID,2022-04-05 13:40:21,0.7,108.9,80.51,76,100,3.36
180,Tianpeng,CN,2022-04-05 13:40:21,30.9866,103.9393,59.47,81,74,4.63
181,Akcakoca,TR,2022-04-05 13:40:22,41.0866,31.1162,50.86,89,100,5.91
182,Sinnamary,GF,2022-04-05 13:40:22,5.3833,-52.95,79.29,86,99,10.42
183,Adrar,MR,2022-04-05 13:40:22,20.5022,-10.0711,90.7,16,0,8.1
184,Lorengau,PG,2022-04-05 13:40:22,-2.0226,147.2712,82.62,81,99,12.41
185,Provost,CA,2022-04-05 13:40:23,52.3501,-110.2683,37.85,96,100,19.26
186,Kozhva,RU,2022-04-05 13:40:23,65.1073,57.0459,20.14,88,100,10.42
187,Jasper,US,2022-04-05 13:40:23,37.2001,-94.3502,57.99,88,75,8.05
188,Port-Gentil,GA,2022-04-05 13:40:24,-0.7193,8.7815,81.77,80,29,13.58
189,Beaufort,MY,2022-04-05 13:40:24,5.3473,115.7455,74.28,97,100,2.57
190,Ponta Do Sol,PT,2022-04-05 13:40:24,32.6667,-17.1,63.12,62,54,7.65
